Type,Pos,Width,Rotate,Attr
connection,519.2743902439024_214.75,31.97560975609756_11.121951219512194,0,valve5_6|_|tank1_2|_|M8#8_L38#8_|_|#0033cc|_|6|_|46#16
connection,587.1463414634146_95.75,35.103658536585364_11.121951219512194,0,valve8_0|_|connection_60|_|M42.5#8_L8#8_|_|#990000|_|5|_|50.5#16
connection,583.6280487804878_76.75,11.121951219512194_46.92073170731707,0,separator_1|_|tank1_0|_|M8#8_L8#59.5_|_|#990000|_|10|_|16#67.5
connection,325.75_436.5,160.5_49.5,0,tank3_3|_|tank3_1|_|M152.5#8_L119#41.5_L8#41.5_|_|#AAA|_|10|_|160.5#49.5
connection,585.1280487804878_192.25,11.121951219512194_29.195121951219505,0,valve1_16|_|tank1_1|_|M8#8_L8#34_|_|#AAA|_|7|_|16#42
connection,584.6280487804878_177.75,11.121951219512194_22.591463414634145,0,valve1_15|_|valve1_16|_|M8#8_L8#24.5_|_|#AAA|_|7|_|16#32.5
connection,584.1280487804878_158.25,11.121951219512194_26.067073170731714,0,tank1_0|_|valve1_15|_|M8#8_L8#29.5_|_|#AAA|_|7|_|16#37.5
monitoring,555.4208078627024_80.93260486900579,3.6630942367317063,0,undefined
monitoring,527.3453920187117_18.693961148346602,5.269714516,0,undefined
connection,627.8780487804878_95.5,25.371951219512194_12.859756097560977,0,valve8_0|_|root|_|M8#8_L28.5#8_L28.5#10.5_|_|#990000|_|5|_|36.5#18.5
connection,430.5_29,152_16,0,separator_0|_|separator_1|_|M8#8_L144#8_|_|#ffcc66|_|10|_|152#16
monitoring,354.31702256897705_484.3272220754753,5.269714516,90,undefined
connection,327.75_502.5,65.5_16,0,root|_|tank3_2|_|M57.5#8_L8#8_|_|#0033cc|_|6|_|65.5#16
connection,400.25_294.25,62.5_62.5,0,root|_|connection_49|_|M54.5#8_L8#54.5_|_|#ff6666|_|10|_|62.5#62.5
connection,331.5_277.75,102.75_147.25,0,valve4_0|_|tank3_2|_|M94.75#8_L94.75#52.5_L8#139.25_|_|#AAA|_|10|_|102.75#147.25
monitoring,433.0565062763934_140.03342731945992,5.269714516,90,undefined
monitoring,433.2360725343502_176.28801117330772,5.269714516,90,undefined
monitoring,433.0620040979663_224.25928724930287,5.269714516,90,undefined
monitoring,412.50979689825414_139.35481247169116,5.269714516,270,undefined
monitoring,412.5250524780584_175.4100002638338,5.269714516,270,undefined
monitoring,412.74996056339745_223.7646881991617,5.269714516,270,undefined
connection,418.25_125.25,16_151.5,0,separator_0|_|valve4_0|_|M8#8_L8#143.5_|_|#AAA|_|10|_|16#151.5
connection,324.75_58,91_16,0,tank3_0|_|separator_0|_|M8#8_L83#8_|_|#ffcc66|_|10|_|91#16
monitoring,305.55891036564583_98.0982665602528,5.269714516,270,undefined
monitoring,354.88129258184415_492.6664319056673,5.269714516,90,undefined
monitoring,283.96824433592445_290.48528111966806,5.269714516,270,undefined
monitoring,283.97552996754575_191.02507013810288,5.269714516,270,undefined
monitoring,294.40777098012506_497.3073757499764,5.269714516,270,undefined
monitoring,294.1645068052946_411.9015244566799,5.269714516,270,undefined
monitoring,294.4409737249944_387.189834386415,5.269714516,270,undefined
monitoring,293.9564729266826_436.4026064383133,5.269714516,270,undefined
monitoring,293.0781363884021_456.7743402869942,5.269714516,270,undefined
connection,221.75_544,38_35,0,valve5_5|_|connection_37|_|M8#27_L30#27_L30#8_|_|#ff6666|_|5|_|38#35
connection,181.75_563,39.5_16,0,valve5_5|_|root|_|M31.5#8_L8#8_L11.5#8_L11.5#8_|_|#ff6666|_|5|_|39.5#16
connection,145.75_543,35_35.5,0,valve5_4|_|connection_37|_|M8#27.5_L27#27.5_L27#8_|_|#ff6666|_|5|_|35#35.5
connection,103.25_562,42.5_16.5,0,valve5_4|_|root|_|M34.5#8.5_L8#8.5_L13.5#8.5_L14#8_L14#8_|_|#ff6666|_|5|_|42.5#16.5
connection,214.75_492.5,16_70.5,0,valve1_14|_|connection_37|_|M8#8_L8#62.5_|_|#AAA|_|6|_|16#70.5
connection,137.25_489,189_73,0,valve1_13|_|tank3_2|_|M8#46.5_L8#65_L133#65_L133#8_L181#8_|_|#AAA|_|6|_|189#73
connection,155.75_479,29_17,0,valve5_5|_|root|_|M21#8_L8#8_L12#8_L12#9_|_|#0066ff|_|5|_|29#17
connection,182.25_478.5,48.5_16,0,valve5_5|_|connection_31|_|M8#8_L40.5#8_|_|#0066ff|_|5|_|48.5#16
connection,23.25_511.5,52_17,0,valve5_4|_|root|_|M44#9_L8#9_L19.5#9_L19.5#8_|_|#0066ff|_|5|_|52#17
connection,71.75_512,79.5_16,0,valve5_4|_|connection_30|_|M8#8_L71.5#8_|_|#0066ff|_|5|_|79.5#16
connection,214.25_447,16_59,0,feeder_0|_|valve1_14|_|M8#8_L8#51_|_|#AAA|_|6|_|16#59
connection,136.75_494,16_42.5,0,feeder_1|_|valve1_13|_|M8#8_L8#34.5_|_|#AAA|_|6|_|16#42.5
connection,87.25_389,16_108.5,0,bucket_2|_|feeder_1|_|M8#8_L8#100.5_|_|#AAA|_|6|_|16#108.5
connection,171.75_389.5,16_62,0,bucket_3|_|feeder_0|_|M8#8_L8#54_|_|#AAA|_|6|_|16#62
monitoring,154.3867709900582_357.1346423556794,5.269714516,270,undefined
monitoring,68.84649186471322_356.9117950362294,5.269714516,270,undefined
monitoring,71.6832039261883_229.82343085013665,5.269714516,270,undefined
monitoring,202.94421979890572_332.2498797212256,5.269714516,90,undefined
monitoring,202.3880981626923_227.31092352075,5.269714516,90,undefined
connection,113.75_341.25,26.5_18,0,valve5_1|_|root|_|M18.5#8_L8#8_L8#10_|_|#0066ff|_|5|_|26.5#18
connection,146.25_284.75,16_70.5,0,valve1_14|_|connection_43|_|M8#8_L8#62.5_|_|#0066ff|_|5|_|16#70.5
connection,145.75_213.25,16.5_89.5,0,valve1_14|_|root|_|M8#81.5_L8#8_L8#50_L8.5#50_|_|#0066ff|_|5|_|16.5#89.5
connection,137.75_341.25,45_16,0,bucket_4|_|valve5_1|_|M37#8_L8#8_|_|#0066ff|_|5|_|45#16
connection,52.75_284.75,16_70,0,valve1_15|_|connection_40|_|M8#8_L8#62_|_|#0066ff|_|5|_|16#70
connection,1.25_339.25,33_19,0,valve5_0|_|root|_|M25#8_L8#8_L8#11_|_|#0066ff|_|5|_|33#19
connection,33.25_339.75,56.5_16,0,bucket_3|_|valve5_0|_|M48.5#8_L8#8_|_|#0066ff|_|5|_|56.5#16
connection,117.75_212.25,33_16,0,valve1_13|_|root|_|M25#8_L8#8_L8#8_|_|#0066ff|_|5|_|33#16
connection,138.75_212.25,40.5_16,0,bucket_2|_|valve1_13|_|M32.5#8_L8#8_|_|#0066ff|_|5|_|40.5#16
connection,40.25_211.25,50_16,0,bucket_1|_|valve1_12|_|M42#8_L8#8_|_|#0066ff|_|5|_|50#16
connection,10.25_210.75,43_17.5,0,valve1_12|_|root|_|M35#8_L8#8_L8#9.5_|_|#0066ff|_|5|_|43#17.5
connection,171.25_303.75,16_39.5,0,valve1_9|_|bucket_4|_|M8#8_L8#31.5_|_|#AAA|_|6|_|16#39.5
connection,171.25_285.25,16_34,0,valve1_8|_|valve1_9|_|M8#8_L8#26_|_|#AAA|_|6|_|16#34
connection,171.25_262.25,16_37,0,bucket_2|_|valve1_8|_|M8#8_L8#29_|_|#AAA|_|6|_|16#37
connection,172.25_181.75,16_47,0,valve1_5|_|bucket_2|_|M8#8_L8#39_|_|#AAA|_|6|_|16#47
connection,171.75_161.75,16_35,0,valve1_4|_|valve1_5|_|M8#8_L8#27_|_|#AAA|_|6|_|16#35
connection,172.25_138.75,16_40,0,valve1_4|_|connection_6|_|M8#32_L8#8_|_|#AAA|_|6|_|16#40
connection,87.25_303.75,16_37.5,0,valve1_7|_|bucket_3|_|M8#8_L8#29.5_|_|#AAA|_|6|_|16#37.5
connection,87.25_284.25,16_33,0,valve1_6|_|valve1_7|_|M8#8_L8#25_|_|#AAA|_|6|_|16#33
connection,87.25_265.25,16_34,0,bucket_1|_|valve1_6|_|M8#8_L8#26_|_|#AAA|_|6|_|16#34
connection,87.25_180.75,16_52,0,valve1_3|_|bucket_1|_|M8#8_L8#44_|_|#AAA|_|6|_|16#52
connection,87.25_163.75,16_32.5,0,valve1_2|_|valve1_3|_|M8#8_L8#24.5_|_|#AAA|_|6|_|16#32.5
connection,87.25_122.25,145_55.5,0,conveyer_0|_|valve1_2|_|M137#8_L137#23.5_L8#23.5_L8#47.5_|_|#AAA|_|6|_|145#55.5
connection,73.75_45,115_82.5,0,bucket_0|_|vibrating_0|_|M8#47.5_L8#74.5_L58.5#74.5_L58.5#8_L107#8_|_|#AAA|_|7|_|115#82.5
connection,179.75_60,13.5_64.125,0,vibrating_0|_|conveyer_0|_|M8#8_L8#68_|_|#AAA|_|10|_|16#76
bucket,62.2296579430012_19.2296579430012,40,0,undefined
gauge,80.99729204966528_24.997292049665276,3,0,0
text,67.01014759346629_45.01014759346629,30.23985241,0,煤仓|_|false|_|#000000
vibrating,158.50970595636824_45.00970595636822,64.74029404,0,undefined
conveyer,166.81819901959415_121.31819901959415,67.43180098,0,undefined
bucket,160.07877381389568_202.07877381389568,40,0,undefined
bucket,75.14970236185937_321.64970236185934,40,0,undefined
bucket,160.20677699275677_320.7067769927568,40,0,undefined
valve1,88.40301177075506_165.61624694362303,26.69884776,0,undefined
valve1,88.33880369776794_182.8332366796581,26.69884776,0,undefined
valve1,173.3254587636227_165.01214074370586,26.69884776,0,undefined
valve1,173.26125069063556_182.22913047974095,26.69884776,0,undefined
valve1,88.90733083398928_286.84187221962486,26.69884776,0,undefined
valve1,88.84312276100216_303.55886195565995,26.69884776,0,undefined
valve1,172.77984824621774_286.92465749481255,26.69884776,0,undefined
valve1,172.7156401732306_303.64164723084764,26.69884776,0,undefined
text,162.69755173164094_224.76809981156748,35.15160212,0,平衡斗|_|false|_|#000000
text,164.500282610635_239.66030956056758,31.51694489,0,V0203|_|false|_|#000000
connection,71.25_179.25,16_39,0,bucket_1|_|valve1_11|_|M8#31_L8#8_|_|#0066ff|_|5|_|16#39
connection,70.25_154.75,16.5_42,0,valve1_11|_|root|_|M8.5#34_L8.5#8_L8#8_|_|#0066ff|_|5|_|16.5#42
valve1,59.11800659338614_182.33481333225518,26.69884776,180,undefined
bucket,75.59909668060718_204.09909668060718,40,0,undefined
text,79.09839787954813_226.84839787954814,35.15160212,0,平衡斗|_|false|_|#000000
text,80.73305511457478_241.98305511457477,31.51694489,0,V0202|_|false|_|#000000
valve1,34.124142066113194_205.38410948193106,26.69884776,270,undefined
valve1,128.71155710623117_206.4757690495587,26.69884776,270,undefined
valve1,134.29451567360871_286.7980241521792,26.69884776,180,undefined
connection,52.75_211.25,18.5_88.5,0,valve1_15|_|root|_|M8#80.5_L8#8_L10.5#8_|_|#0066ff|_|5|_|18.5#88.5
valve1,41.37411489527713_287.0595035662792,26.69884776,180,undefined
valve5,23.391931708819904_336.6419317088199,19.35806829,0,undefined
valve5,128.99555229232533_338.49242054014536,19.35806829,0,undefined
text,91.14532213567304_382.89532213567304,8.104677864,0,A|_|false|_|#000000
text,176.2393842339082_382.44393953007784,8.104677864,0,B|_|false|_|#000000
text,80.25_334.1790402824847,43.37122808676494,0,进煤斗|_|true|_|#000000
gauge,94.45553095500873_327.7055309550087,3,0,0
text,164.22495828368454_332.9592827880896,43.37122808676494,0,进煤斗|_|true|_|#000000
gauge,179.43048923869327_326.4857734606136,3,0,0
feeder,118.19557794350408_419.1955779435041,120,0,undefined
feeder,41.09628699523125_465.3931731908018,120,0,undefined
valve1,138.7081086450612_527.7226284822302,26.69884776,0,undefined
valve1,216.77771719053828_492.2499303552803,26.69884776,0,undefined
valve5,65.32363045874601_509.5089441469761,19.358068290000002,0,undefined
valve5,175.42725104225144_475.8594329783016,19.358068290000002,0,undefined
capacitor,202.52987457861843_478.02987457861843,3.2201254213815673,180,undefined
capacitor,107.25_513.3696489016444,3.0000000000000004,180,undefined
tank3,313.31198249904867_47.81198249904867,25.899363126248613,0,undefined
tank3,301.80196615529377_348.0161177739291,50.94803384470623,0,undefined
tank3,290.39688565355993_132.10499594632336,72.11343356571834,0,undefined
valve5,135.7292260571223_559.6667742701422,19.358068290000006,0,undefined
