Type,Pos,Width,Rotate,Attr
capacitor,550.5158750170007_533.0572151143326,3.8180918359172447,0,undefined
valve9,629.6748303647497_449.18661569465996,16.448015485698484,0,undefined
separator,688.2773719415735_309.2773719415735,32.472628058426494,0,undefined
valve9,533.567685440408_349.69047444467054,16.448015485698484,0,undefined
capacitor,578.1806416749811_351.10586833134016,3.8180918359172447,0,undefined
bucket,712.3599431518919_365.85994315189185,23.892955415651272,0,undefined
bucket,712.8570445843487_437.7802478081809,23.892955415651272,0,undefined
bucket,713.0020055737208_508.7062255118593,23.892955415651272,0,undefined
valve1,615.229573859404_188.7417744723581,18.5589551502439,0,undefined
valve1,710.1970390480051_416.55006268359284,19.11716902498199,180,undefined
valve1,710.132830975018_427.76705241962793,19.11716902498199,180,undefined
valve1,710.31821324785_498.013102658618,19.11716902498199,180,undefined
valve1,710.254005174863_488.730092394653,19.11716902498199,180,undefined
text,712.5294336219499_380.02943362194986,23.22056637805008,0,称重罐|_|false|_|#000000
text,714.5715731415173_389.73181848502134,19.3504719817084,0,V0604|_|false|_|#000000
text,712.8442592607296_450.68001631133467,23.22056637805008,0,平衡斗|_|false|_|#000000
text,714.386398780297_460.38240117440614,19.3504719817084,0,V0605|_|false|_|#000000
text,715.9532809234861_520.5945953017285,23.22056637805008,0,输送斗|_|false|_|#000000
text,716.9954204430535_530.7969801648001,19.3504638671875,0,V0606|_|false|_|#000000
valve5,583.0749013332917_385.82747347201706,15.49207602970546,0,undefined
valve5,583.0888435249818_401.67117015873924,15.49207602970546,0,undefined
valve9,619.2819301396871_364.1729235915922,12.526878502250044,0,undefined
valve9,619.5430796171669_377.48140797488145,12.526878502250044,0,undefined
valve9,619.7179920367657_391.9336380240551,12.526878502250044,0,undefined
valve9,619.72312149775_405.482218368269,12.526878502250044,0,undefined
valve1,644.3605498671169_364.76450236974665,14.488314252428045,270,undefined
connection,597.75_357.1767157857516,22.5_86.69117647058823,0,root|_|root|_|M8#8.5_L8#57.5_L8#8_L8#22_L9#22_|_|#660099|_|8|_|17#65.5
text,647.0255169420648_380.0578458800969,32.246256510416664,0,去平衡斗|_|false|_|#000000
text,647.7707915651087_395.9815507687505,32.246256510416664,0,去输送斗|_|false|_|#000000
valve1,737.5121509292019_426.436589170803,19.11716902498199,0,undefined
valve1,747.0566249177397_444.3415688406555,19.32865444220765,270,undefined
valve1,742.9154768892719_481.12509299659934,19.11716902498199,0,undefined
valve5,753.1690769886405_512.3260689285768,11.58092301135946,0,undefined
valve1,743.9949473339962_531.3133699789648,19.32865444220765,270,undefined
valve3,772.7862321036356_460.28623210363554,5.463767896364402,0,undefined
valve3,786.128750001693_447.54894352090525,5.463767896364402,270,undefined
connection,774.25_530,17_52,0,root|_|root|_|M9#8_L9#44_L9#40_L8#40_|_|#000000|_|2|_|17#52
connection,782.25_476,36.5_16,0,root|_|connection_207|_|M8#8_L28.5#8_|_|#000000|_|2|_|36.5#16
valve3,785.1566248797077_369.2289779251394,5.463767896364402,270,undefined
valve3,763.515200066123_382.55757098241344,5.463767896364402,0,undefined
valve7,752.1308550958512_371.47870224066094,10.694946914496839,90,undefined
bucket,1017.3192234132741_489.3192234132742,28.93077658672587,0,undefined
tank2,918.25_460.4348417961051,29.499999999999996,0,undefined
bucket,1016.9986036142018_405.9986036142018,28.93077658672587,0,undefined
valve3,1032.3811044354784_392.0789372835203,6.081917031925704,90,undefined
valve1,1026.710492797939_479.80520094182776,19.32865444220765,0,undefined
valve1,1026.9800378214143_561.6508215269176,19.32865444220765,0,undefined
text,1023.25_409.7904051999784,38.14964428937036,0,上灰斗|_|true|_|#000000
text,1023.0078175173744_493.87317556495145,37.421077876080666,0,下灰斗|_|true|_|#000000
text,927.1904943267062_474.1573294070467,39.73075113485424,0,高位槽|_|true|_|#000000
valve1,969.3108799994258_470.3430786617664,19.32865444220765,270,undefined
valve1,973.2943390074495_531.5507106575803,19.32865444220765,270,undefined
valve5,885.8736895112859_495.562606912318,14.876310488714129,0,undefined
valve1,968.973687032076_442.3849068653049,19.32865444220765,270,undefined
valve5,906.0316230041058_419.99403646493016,14.876310488714129,0,undefined
connection,884.75_419,60.5_31.5,0,connection_197|_|connection_198|_|M8#9_L8#23.5_L52.5#23.5_L52.5#8_|_|#33cccc|_|3|_|60.5#31.5
valve1,971.6640593216401_402.3472516255975,19.32865444220765,270,undefined
valve5,891.8167686402896_401.8132315246221,14.876310488714129,0,undefined
monitoring,876.0635637029333_429.79637645177047,3.5842854695094255,180,undefined
valve5,891.0364150901622_387.31578495188535,14.876310488714129,0,undefined
valve1,1079.3410631853028_496.21376075997046,19.32865444220765,270,undefined
valve5,914.0095373463929_373.85231152542895,14.876310488714129,0,undefined
valve1,1043.850184251643_365.8824549161285,19.32865444220765,270,undefined
text,826.6406515190512_430.9277265750142,40.500000000000014,0,高压循环水|_|false|_|#000000
text,821.25_506.8296585157991,40.5,0,低压循环水|_|false|_|#000000
text,1076.0884882086282_513.8273312997865,40.500000000000014,0,高压循环水|_|false|_|#000000
capacitor,898.75_420.2177851244854,3.5,0,undefined
capacitor,904.3295949431116_374.9977294156234,3.5,0,undefined
diode,639.0345358371778_424.5345358371778,17.215464162822173,0,undefined
diode,638.3711501308258_406.8104945838691,17.215464162822173,0,undefined
connection,677.75_234.25,60.5_16,0,root|_|tank2_1|_|M8#8_L52.5#8_|_|#990000|_|3|_|60.5#16
text,700.8449269583427_330.56431589792265,19.3504719817084,0,V0606|_|false|_|#000000
arrow,864.485781558941_406.485781558941,7.264218441059028,0,undefined
arrow,866.657798184337_424.0029278205137,7.264218441059028,180,undefined
arrow,846.7037421778781_499.85778902783306,7.264218441059028,180,undefined
arrow,944.8055626271688_394.00695118531695,7.264218441059028,270,undefined
arrow,1108.7379309356054_501.5492911108682,7.264218441059028,0,undefined
arrow,864.4832680007846_378.86727251478413,7.264218441059028,180,undefined
arrow,921.9442722489129_314.72759946114223,7.264218441059028,0,undefined
arrow,889.2997043411606_241.91454432307302,7.264218441059028,270,undefined
arrow,945.8098729124576_164.20736128112839,7.264218441059028,270,undefined
arrow,1043.4240854819525_230.0357725296751,7.264218441059028,270,undefined
arrow,957.6525730186507_69.93157429720799,7.264218441059028,90,undefined
arrow,849.522301088875_188.15014942930884,7.264218441059028,270,undefined
arrow,865.8817723978995_90.7610343223547,7.264218441059028,0,undefined
arrow,866.4985125155532_74.99622285021488,7.264218441059028,180,undefined
arrow,820.445965151275_3.563671340859244,7.264218441059028,90,undefined
arrow,806.6246136946772_3.6344963863148267,7.264218441059028,90,undefined
arrow,769.7770176805664_69.46957119235145,7.264218441059028,90,undefined
arrow,781.9188561826818_69.74456421644827,7.264218441059028,90,undefined
arrow,791.8961247044721_69.47915582665809,7.264218441059028,90,undefined
arrow,732.1500588675981_133.75269455148512,7.264218441059028,0,undefined
arrow,643.3474412273815_98.47334474707911,7.264218441059028,0,undefined
arrow,705.5563538275966_199.41086847002848,7.264218441059028,0,undefined
arrow,684.8442813524435_238.94713882557033,7.264218441059028,180,undefined
text,648.4393481692146_221.45960148674374,41.810651830785446,0,锅炉蒸汽|_|false|_|#cc0000
arrow,541.0585877771898_67.0969364630482,7.264218441059028,90,undefined
arrow,616.2105542601121_176.71491158081537,7.264218441059028,90,undefined
capacitor,525.5887600413059_273.33876004130593,3.6612399586940687,0,undefined
capacitor,517.2787004583637_257.6403651565564,3.661239958694069,0,undefined
arrow,17.20993315977853_215.00065945899843,7.264218441059028,180,undefined
arrow,126.85898125295685_216.38486405192106,7.264218441059028,180,undefined
arrow,8.752966105517903_343.6996284367332,7.264218441059028,180,undefined
arrow,118.33682997131447_345.41275338317837,7.264218441059028,180,undefined
arrow,118.25576567532093_516.4335761836755,7.264218441059028,180,undefined
arrow,210.71744698157835_483.12004477714913,7.264218441059028,180,undefined
valve5,390.7664392792351_527.6902198070435,15.49207602970546,0,undefined
valve5,351.805700411546_558.3032061200099,15.49207602970546,0,undefined
capacitor,415.4873268059739_529.7159702879466,3.0000000000000013,180,undefined
capacitor,398.3133484240059_543.2257725111868,3.0000000000000018,180,undefined
capacitor,380.56890923216366_560.6656091715531,3.0000000000000018,180,undefined
arrow,763.0919447620273_448.7237921885424,7.264218441059028,0,undefined
arrow,744.0063910449126_390.218134275224,7.264218441059028,0,undefined
arrow,738.3237316853211_410.21614604015883,7.264218441059028,90,undefined
text,548.2189906639325_362.94770943908264,24.1846923828125,0,消防水|_|false|_|#000000
connection,1033.25_484,33.5_40.5,0,bucket_8|_|bucket_8|_|M9#32.5_L25.5#32.5_L25.5#8_L8#8_|_|#000000|_|2|_|33.5#40.5
gauge2,1037.914354938117_489.91435493811696,6.335645061883042,0,0
gauge2,917.4082027546041_462.3313705588313,7.841797245395924,0,0
connection,1032.75_403.5,31_34.5,0,bucket_9|_|bucket_9|_|M11#26.5_L23#26.5_L23#8_L8#8_|_|#000000|_|2|_|31#34.5
gauge2,1038.6424079721305_407.4520448854305,6.335645061883042,0,0
gauge2,1017.1981859600719_407.2602019391426,6.335645061883042,0,0
gauge2,940.75_244.4928607249297,7,0,0
gauge2,1017.3055374452653_238.35673924573757,7.444462554734741,0,0
gauge2,1070.0686254776306_147.8186254776304,8.681374522369422,0,0
gauge2,710.1260015079431_517.6260015079431,5.123998492056898,0,0
